date,keyword,google_trend,etsy_reviews,amazon_bsr,demand,competition,growth,trend,opportunity,seasonality,buyer_intent,collection,material,style,recommended_product,price_range,reason,etsy_price,etsy_sales,amazon_reviews,category,_ai_failed
2026-07-27,ghost mirror pottery barn,,,,10,5,5,5,10,none,low,,,,home decor,medium,"Specific to a brand, indicating niche interest.",,,,,
2026-07-27,ghost mirror door,,,,10,5,5,5,10,none,low,,,,home decor,medium,Niche product related to home design.,,,,,
2026-07-27,ghost mirror phasmophobia,,,,10,5,5,5,10,none,low,,,,gaming merchandise,low,"Related to a specific game, indicating niche interest.",,,,,
2026-07-27,ghost mirror horror game,,,,10,5,5,5,10,none,low,,,,gaming merchandise,low,"Appeals to horror game enthusiasts, indicating niche demand.",,,,,
2026-07-27,ghost mirror movie,,,,10,5,5,5,10,none,low,,,,movie merchandise,low,"Related to a specific genre, indicating niche interest.",,,,,
2026-07-27,ghost mirror steam,,,,10,5,5,5,10,none,low,,,,gaming merchandise,low,"Refers to a gaming platform, indicating niche interest.",,,,,
2026-07-27,ghost mirror marshalls,,,,10,5,5,5,10,none,low,,,,home decor,medium,"Specific to a retail store, indicating niche interest.",,,,,
2026-07-27,ghost mirror trick,,,,10,5,5,5,10,none,low,,,,novelty items,low,"Indicates a specific theme, appealing to niche audiences.",,,,,
2026-07-27,martha stewart ghost mirror,,,,20,30,10,15,25,Halloween,Low,,,,ghost mirror,$20-$50,Specific brand association may limit broader appeal.,,,,,
2026-07-27,light up ghost mirror,,,,20,30,10,15,25,Halloween,Low,,,,ghost mirror,$30-$60,Niche product with limited search volume.,,,,,
2026-07-27,ghost mirror decal,,,,20,30,10,15,25,Halloween,Low,,,,decal,$5-$15,Decals are a common but low-demand item.,,,,,
2026-07-27,martha stewart ghost mirror halloween,,,,20,30,10,15,25,Halloween,Low,,,,ghost mirror,$20-$50,Specific brand and seasonal focus may limit interest.,,,,,
2026-07-27,ghost mirror hologram,,,,20,30,10,15,25,Halloween,Low,,,,hologram mirror,$30-$70,Hologram effects are niche and may not attract broad interest.,,,,,
2026-07-27,halloween ghost mirror,,,,20,30,10,15,25,Halloween,Low,,,,ghost mirror,$20-$50,Generic term may not yield high sales.,,,,,
2026-07-27,ghost mirror cling,,,,20,30,10,15,25,Halloween,Low,,,,cling,$5-$15,Clings are common but may not stand out in the market.,,,,,
2026-07-27,ghost mirror sticker,,,,20,30,10,15,25,Halloween,Low,,,,sticker,$5-$15,Stickers are widely available and may face high competition.,,,,,
2026-07-27,teacher tumbler ideas,,,,10,10,10,10,10,none,low,teacher gifts,drinkware,modern,tumbler,$10-$30,Low cross-platform presence indicates limited demand.,,,,,
2026-07-27,teacher tumbler wrap,,,,10,10,10,10,10,none,low,teacher gifts,accessories,customizable,tumbler wrap,$5-$15,Limited visibility across platforms suggests low interest.,,,,,
2026-07-27,teacher tumbler designs,,,,10,10,10,10,10,none,low,teacher gifts,drinkware,artistic,tumbler,$10-$25,Low cross-platform presence indicates limited demand.,,,,,
2026-07-27,teacher tumbler gift ideas,,,,10,10,10,10,10,none,low,teacher gifts,various,thoughtful,gift set,$15-$40,Limited visibility across platforms suggests low interest.,,,,,
2026-07-27,teacher tumbler nearby,,,,10,10,10,10,10,none,low,teacher gifts,drinkware,local,local tumbler,$10-$30,Low cross-platform presence indicates limited demand.,,,,,
2026-07-27,teacher tumbler hobby lobby,,,,10,10,10,10,10,none,low,teacher gifts,drinkware,themed,tumbler,$10-$25,Limited visibility across platforms suggests low interest.,,,,,
2026-07-27,teacher tumbler michaels,,,,10,10,10,10,10,none,low,teacher gifts,drinkware,crafty,craft tumbler,$10-$30,Low cross-platform presence indicates limited demand.,,,,,
2026-07-27,teacher tumbler near me,,,,10,10,10,10,10,none,low,teacher gifts,drinkware,local,local tumbler,$10-$30,Limited visibility across platforms suggests low interest.,,,,,
2026-07-27,teacher tumbler svg,,,,20,10,15,10,25,none,low,,,,digital downloads,$5-$15,Limited platform presence indicates lower demand.,,,,,
2026-07-27,teacher tumblers for women,,,,30,20,25,20,35,none,medium,,,,tumblers,$15-$30,Specific audience targeting suggests moderate demand.,,,,,
2026-07-27,teacher tumbler with straw,,,,30,20,25,20,35,none,medium,,,,tumblers,$15-$30,Popular feature indicates steady interest.,,,,,
2026-07-27,teacher tumbler bulk,,,,25,15,20,15,30,none,high,,,,tumblers,$10-$25,Bulk purchasing suggests high buyer intent for gifts or events.,,,,,
2026-07-27,teacher tumbler with handle,,,,25,15,20,15,30,none,medium,,,,tumblers,$15-$30,Functional design appeals to practical buyers.,,,,,
2026-07-27,teacher tumbler gift set,,,,35,25,30,25,40,high,high,,,,gift sets,$25-$50,"Gift sets are popular for special occasions, indicating strong demand.",,,,,
2026-07-27,teacher tumbler accessories,,,,20,10,15,10,25,none,low,,,,accessories,$5-$15,Accessories have limited standalone demand.,,,,,
2026-07-27,teacher tumbler 40 oz,,,,30,20,25,20,35,none,medium,,,,tumblers,$20-$35,Larger capacity tumblers appeal to a specific user preference.,,,,,
2026-07-27,teacher tumbler gift,,,,40,30,50,20,60,year-round,gift,gifts,metal,personalized,tumblers,$15-$30,"This keyword shows potential for gifts targeted at teachers, with moderate competition.",,,,,
2026-07-27,halloween mug set,,,,60,40,50,30,70,high,gift,,,,mug set,$20-$40,This keyword indicates a specific product set for a seasonal occasion.,,,,,
2026-07-27,ghost mirror sliding door,,,,60,40,50,30,70,low,home decor,,,,mirror,$50-$100,This keyword suggests a unique home decor item with a specific function.,,,,,
2026-07-27,teacher tumbler cup,,,,60,40,50,30,70,medium,gift,,,,tumbler cup,$15-$30,This keyword targets a specific audience looking for gifts for teachers.,,,,,
2026-07-27,halloween mug,,,,40,60,30,20,40,high,gift,,,,mug,$10-$25,This is a popular seasonal item with moderate competition.,,,,,
2026-07-27,ghost mirror,,,,40,60,30,20,40,low,home decor,,,,mirror,$50-$100,This keyword suggests a niche decor item with moderate competition.,,,,,
2026-07-27,teacher tumbler,,,,40,60,30,20,40,medium,gift,,,,tumbler,$15-$30,This keyword targets a specific audience looking for gifts for teachers.,,,,,
2026-07-27,halloween mugs,,,,30,70,20,10,30,high,gift,,,,mug,$10-$25,This keyword is a variation with lower demand and higher competition.,,,,,
2026-07-27,halloween mugen,,,,20,80,10,5,20,high,gift,,,,mug,$10-$25,This keyword appears to be a niche variation with very low demand.,,,,,
2026-07-27,halloween mugs target,,,,20,10,15,10,25,high,low,,,,mugs,10-20,Limited presence on major platforms suggests niche interest.,,,,,
2026-07-27,halloween mugshots,,,,20,10,15,10,25,high,low,,,,mugs,10-20,Limited presence indicates a niche market.,,,,,
2026-07-27,halloween mugen gbf,,,,20,10,15,10,25,high,low,,,,mugs,10-20,Very niche keyword with limited search presence.,,,,,
2026-07-27,halloween mugs tk maxx,,,,20,10,15,10,25,high,low,,,,mugs,10-20,Low competition suggests limited availability.,,,,,
2026-07-27,halloween mugs indigo,,,,20,10,15,10,25,high,low,,,,mugs,10-20,Indicates a specific retailer focus with low competition.,,,,,
2026-07-27,halloween mug asda,,,,20,10,15,10,25,high,low,,,,mugs,10-20,Limited search presence suggests niche interest.,,,,,
2026-07-27,halloween mug emma bridgewater,,,,20,10,15,10,25,high,low,,,,mugs,20-30,Specific brand focus indicates niche market.,,,,,
2026-07-27,halloween mugs set of 4,,,,30,20,25,20,35,high,medium,,,,set of mugs,30-50,Higher demand and competition suggest broader appeal.,,,,,
2026-07-27,johanna parker halloween mugs,,,,30,20,10,10,40,high,medium,halloween,ceramic,vintage,mugs,$15-$30,Niche design with limited availability.,,,,,
2026-07-27,halloween mugs coffee,,,,30,20,10,10,40,high,medium,halloween,ceramic,fun,mugs,$10-$25,Common theme for seasonal coffee drinkers.,,,,,
2026-07-27,vintage halloween mug,,,,30,20,10,10,40,high,medium,halloween,ceramic,vintage,mugs,$15-$35,Appeals to collectors and vintage enthusiasts.,,,,,
2026-07-27,snoopy halloween mug,,,,30,20,10,10,40,high,medium,halloween,ceramic,character,mugs,$10-$25,Popular character mug with seasonal appeal.,,,,,
2026-07-27,cute halloween mugs,,,,30,20,10,10,40,high,medium,halloween,ceramic,cute,mugs,$10-$20,Appeals to a broad audience looking for festive items.,,,,,
2026-07-27,halloween mugs bulk,,,,30,20,10,10,40,high,high,halloween,ceramic,functional,mugs,$8-$15,"Ideal for parties and events, indicating higher purchase intent.",,,,,
2026-07-27,halloween mug 20oz,,,,30,20,10,10,40,high,medium,halloween,ceramic,functional,mugs,$10-$25,Specific size appeal for coffee drinkers.,,,,,
2026-07-27,halloween 1978 mug,,,,30,20,10,10,40,high,medium,halloween,ceramic,vintage,mugs,$15-$30,Nostalgic appeal for fans of the classic film.,,,,,
2026-07-27,ghost mirror game,,,,10,10,10,10,10,none,low,games,digital,horror,game,low,This keyword has limited cross-platform presence indicating low demand.,,,,,
2026-07-27,ghost mirror martha stewart,,,,10,10,10,10,10,none,low,home decor,glass,modern,home decor,medium,This keyword has limited cross-platform presence indicating low demand.,,,,,
2026-07-27,ghost mirror pottery barn,,,,10,10,10,10,10,none,low,home decor,wood/glass,traditional,home decor,medium,This keyword has limited cross-platform presence indicating low demand.,,,,,
2026-07-27,ghost mirror door,,,,10,10,10,10,10,none,low,home decor,wood/glass,modern,door decor,medium,This keyword has limited cross-platform presence indicating low demand.,,,,,
2026-07-27,ghost mirror phasmophobia,,,,10,10,10,10,10,none,low,games,digital,horror,game,low,This keyword has limited cross-platform presence indicating low demand.,,,,,
2026-07-27,ghost mirror horror game,,,,10,10,10,10,10,none,low,games,digital,horror,game,low,This keyword has limited cross-platform presence indicating low demand.,,,,,
2026-07-27,ghost mirror movie,,,,10,10,10,10,10,none,low,movies,digital,horror,movie,low,This keyword has limited cross-platform presence indicating low demand.,,,,,
2026-07-27,ghost mirror steam,,,,10,10,10,10,10,none,low,games,digital,horror,game,low,This keyword has limited cross-platform presence indicating low demand.,,,,,
2026-07-27,ghost mirror marshalls,,,,10,10,10,10,10,none,low,home decor,glass,modern,mirror,low,Limited platform presence suggests niche interest.,,,,,
2026-07-27,martha stewart ghost mirror,,,,20,20,20,20,20,none,medium,home decor,glass,classic,mirror,medium,Brand association may drive interest.,,,,,
2026-07-27,light up ghost mirror,,,,20,20,20,20,20,none,medium,home decor,glass,modern,mirror,medium,Illuminated features may attract buyers.,,,,,
2026-07-27,ghost mirror decal,,,,20,20,20,20,20,none,medium,home decor,vinyl,modern,decal,low,Decals offer a unique decor option.,,,,,
2026-07-27,martha stewart ghost mirror halloween,,,,30,30,30,30,30,high,high,seasonal decor,glass,thematic,mirror,medium,Seasonal interest for Halloween-themed items.,,,,,
2026-07-27,ghost mirror hologram,,,,20,20,20,20,20,none,medium,home decor,glass,modern,mirror,medium,Holographic features may attract tech-savvy buyers.,,,,,
2026-07-27,halloween ghost mirror,,,,30,30,30,30,30,high,high,seasonal decor,glass,thematic,mirror,medium,Strong seasonal demand for Halloween decor.,,,,,
2026-07-27,ghost mirror cling,,,,20,20,20,20,20,none,medium,home decor,vinyl,modern,cling,low,Clings provide a temporary decor option.,,,,,
2026-07-27,ghost mirror sticker,,,,30,70,20,10,40,low,medium,,,,sticker,$5-$15,Limited to Amazon suggests niche interest.,,,,,
2026-07-27,teacher tumbler ideas,,,,40,60,50,30,50,medium,high,,,,tumbler,$15-$30,High interest in teacher-themed products indicates strong demand.,,,,,
2026-07-27,teacher tumbler wrap,,,,35,50,45,25,55,medium,high,,,,wrap,$10-$20,"Specific to tumbler customization, appealing to DIY enthusiasts.",,,,,
2026-07-27,teacher tumbler designs,,,,40,55,50,30,50,medium,high,,,,designs,$5-$15,Interest in unique designs for teachers indicates strong market potential.,,,,,
2026-07-27,teacher tumbler gift ideas,,,,45,65,55,40,60,high,very high,,,,gift set,$20-$40,"Gift ideas for teachers are always in demand, especially around holidays.",,,,,
2026-07-27,teacher tumbler nearby,,,,20,40,10,5,30,low,low,,,,tumbler,$10-$25,Limited search interest suggests low demand.,,,,,
2026-07-27,teacher tumbler hobby lobby,,,,25,30,15,10,35,low,medium,,,,tumbler,$15-$30,Niche interest tied to a specific retailer suggests limited appeal.,,,,,
2026-07-27,teacher tumbler michaels,,,,25,30,15,10,35,low,medium,,,,tumbler,$15-$30,"Similar to Hobby Lobby, limited to a specific retailer.",,,,,
2026-07-27,teacher tumbler near me,,,,30,20,10,5,15,low,low,,,,tumbler,$10-$30,Limited to Google search with no broader platform presence.,,,,,
2026-07-27,teacher tumbler svg,,,,30,20,10,5,15,low,low,,,,digital design,$5-$15,Limited to Google search with no broader platform presence.,,,,,
2026-07-27,teacher tumblers for women,,,,40,30,20,15,25,medium,medium,,,,tumbler,$15-$25,Appears on Amazon indicating some demand among a specific audience.,,,,,
2026-07-27,teacher tumbler with straw,,,,40,30,20,15,25,medium,medium,,,,tumbler,$10-$20,Appears on Amazon indicating some demand among a specific audience.,,,,,
2026-07-27,teacher tumbler bulk,,,,40,30,20,15,25,medium,medium,,,,tumbler,$8-$15,Appears on Amazon indicating some demand for bulk purchases.,,,,,
2026-07-27,teacher tumbler with handle,,,,40,30,20,15,25,medium,medium,,,,tumbler,$15-$30,Appears on Amazon indicating some demand for this specific type.,,,,,
2026-07-27,teacher tumbler gift set,,,,40,30,20,15,25,high,high,,,,gift set,$20-$50,Appears on Amazon indicating demand for gift sets.,,,,,
2026-07-27,teacher tumbler accessories,,,,40,30,20,15,25,medium,medium,,,,accessories,$5-$15,Appears on Amazon indicating some demand for complementary products.,,,,,
2026-07-27,teacher tumbler 40 oz,,,,30,40,20,25,35,none,low,teacher gifts,metal,modern,tumbler,$15-$30,Limited cross-platform presence indicates niche demand.,,,,,
2026-07-27,teacher tumbler gift,,,,35,45,25,30,40,none,medium,gifts for teachers,ceramic,personalized,tumbler,$10-$25,Specific gifting context increases buyer intent.,,,,,
2026-07-29,halloween mug set,,,,60,40,50,50,70,high,purchase,,,,mug set,$20-$40,This keyword indicates a specific product set for a seasonal event.,,,,,
2026-07-29,ghost mirror sliding door,,,,60,40,50,50,70,low,purchase,,,,sliding door mirror,$50-$100,This keyword suggests a unique home decor item with a ghost theme.,,,,,
2026-07-29,teacher tumbler cup,,,,60,40,50,50,70,medium,purchase,,,,tumbler cup,$15-$30,This keyword targets a specific audience of teachers looking for personalized drinkware.,,,,,
2026-07-29,halloween mug,,,,50,30,40,40,60,high,purchase,,,,mug,$10-$25,This is a popular seasonal item for Halloween celebrations.,,,,,
2026-07-29,ghost mirror,,,,50,30,40,40,60,low,purchase,,,,mirror,$30-$70,This keyword suggests a decorative item with a ghost theme.,,,,,
2026-07-29,teacher tumbler,,,,50,30,40,40,60,medium,purchase,,,,tumbler,$10-$25,This keyword targets teachers looking for drinkware.,,,,,
2026-07-29,halloween mugs,,,,40,20,30,30,50,high,purchase,,,,mugs,$10-$25,This keyword indicates a general interest in Halloween-themed mugs.,,,,,
2026-07-29,halloween mugen,,,,40,20,30,30,50,high,purchase,,,,mug,$10-$25,This keyword suggests a niche interest in Halloween-themed items.,,,,,
2026-07-29,halloween mugshots,,,,10,10,5,5,5,low,low,,,,mugs,10-20,Limited cross-platform presence indicates low demand.,,,,,
2026-07-29,halloween mugs tk maxx,,,,10,10,5,5,5,low,low,,,,mugs,10-20,Limited cross-platform presence indicates low demand.,,,,,
2026-07-29,halloween mugs indigo,,,,10,10,5,5,5,low,low,,,,mugs,10-20,Limited cross-platform presence indicates low demand.,,,,,
2026-07-29,halloween mug asda,,,,10,10,5,5,5,low,low,,,,mugs,10-20,Limited cross-platform presence indicates low demand.,,,,,
2026-07-29,halloween mug emma bridgewater,,,,10,10,5,5,5,low,low,,,,mugs,10-20,Limited cross-platform presence indicates low demand.,,,,,
2026-07-29,halloween mugs uk,,,,10,10,5,5,5,low,low,,,,mugs,10-20,Limited cross-platform presence indicates low demand.,,,,,
2026-07-29,halloween mugs near me,,,,10,10,5,5,5,low,low,,,,mugs,10-20,Limited cross-platform presence indicates low demand.,,,,,
2026-07-29,halloween mugs set of 4,,,,30,20,15,15,20,medium,medium,,,,set of mugs,20-40,Appears on Amazon indicating moderate demand and potential sales.,,,,,
2026-07-29,johanna parker halloween mugs,,,,20,30,10,10,15,high,medium,,,,mugs,10-20,Specific brand appeal may attract niche buyers.,,,,,
2026-07-29,halloween mugs coffee,,,,20,30,10,10,15,high,medium,,,,mugs,10-20,Combines seasonal theme with everyday use.,,,,,
2026-07-29,snoopy halloween mug,,,,20,30,10,10,15,high,medium,,,,mugs,10-20,Appeals to fans of the Snoopy character.,,,,,
2026-07-29,vintage halloween mug,,,,20,30,10,10,15,high,medium,,,,mugs,15-25,Vintage items often attract collectors and enthusiasts.,,,,,
2026-07-29,cute halloween mugs,,,,20,30,10,10,15,high,medium,,,,mugs,10-20,Appeals to consumers looking for fun and whimsical designs.,,,,,
2026-07-29,halloween mugs bulk,,,,20,30,10,10,15,high,high,,,,mugs,5-15,Bulk purchases suggest higher buyer intent for events.,,,,,
2026-07-29,halloween mug 20oz,,,,20,30,10,10,15,high,medium,,,,mugs,10-20,Specific size may attract buyers looking for larger mugs.,,,,,
2026-07-29,halloween 1978 mug,,,,20,30,10,10,15,high,medium,,,,mugs,10-20,Nostalgic appeal for fans of the 1978 Halloween movie.,,,,,
2026-07-29,ghost mirror game,,,,10,10,10,10,10,none,low,,,,game-related merchandise,low,Low platform presence indicates limited interest.,,,,,
2026-07-29,ghost mirror martha stewart,,,,10,10,10,10,10,none,low,,,,home decor,medium,Specific brand mention with low search volume.,,,,,
2026-07-29,ghost mirror pottery barn,,,,10,10,10,10,10,none,low,,,,home furnishings,medium,Low platform presence suggests limited demand.,,,,,
2026-07-29,ghost mirror door,,,,10,10,10,10,10,none,low,,,,decorative doors,medium,Limited search volume across platforms.,,,,,
2026-07-29,ghost mirror phasmophobia,,,,10,10,10,10,10,none,low,,,,gaming merchandise,low,Niche gaming reference with low visibility.,,,,,
2026-07-29,ghost mirror horror game,,,,10,10,10,10,10,none,low,,,,horror game merchandise,low,Low interest indicated by minimal platform presence.,,,,,
2026-07-29,ghost mirror movie,,,,10,10,10,10,10,none,low,,,,movie-related merchandise,medium,Specific movie reference with low search activity.,,,,,
2026-07-29,ghost mirror steam,,,,10,10,10,10,10,none,low,,,,gaming accessories,low,Limited visibility across platforms suggests low demand.,,,,,
2026-07-29,ghost mirror marshalls,,,,20,10,15,10,25,low,low,home decor,glass,modern,ghost mirror,$50-$100,Limited platform presence indicates niche interest.,,,,,
2026-07-29,martha stewart ghost mirror,,,,30,25,20,15,35,medium,medium,home decor,glass,traditional,ghost mirror,$50-$150,Brand association with Martha Stewart may attract buyers.,,,,,
2026-07-29,light up ghost mirror,,,,30,20,25,20,40,medium,high,home decor,glass,modern,light up ghost mirror,$60-$120,Illuminated features appeal to a broader audience.,,,,,
2026-07-29,ghost mirror decal,,,,25,15,20,15,30,low,medium,home decor,vinyl,modern,ghost mirror decal,$10-$30,Decals offer a low-cost alternative for decoration.,,,,,
2026-07-29,martha stewart ghost mirror halloween,,,,35,30,25,20,45,high,high,seasonal decor,glass,thematic,halloween ghost mirror,$40-$100,Halloween-themed products have seasonal spikes in demand.,,,,,
2026-07-29,ghost mirror hologram,,,,30,20,25,20,40,medium,medium,home decor,glass,futuristic,hologram ghost mirror,$70-$150,Holographic designs attract tech-savvy consumers.,,,,,
2026-07-29,halloween ghost mirror,,,,40,35,30,25,50,high,high,seasonal decor,glass,thematic,halloween ghost mirror,$50-$120,Strong seasonal interest for Halloween-themed items.,,,,,
2026-07-29,ghost mirror cling,,,,20,15,15,10,25,low,low,home decor,vinyl,modern,ghost mirror cling,$10-$25,Limited appeal as a cling product.,,,,,
2026-07-29,ghost mirror light,,,,30,20,10,15,25,none,low,lighting,plastic,modern,mirror light,$20-$50,Limited cross-platform presence indicates niche demand.,,,,,
2026-07-29,teacher tumbler ideas,,,,40,30,25,20,35,back-to-school,medium,drinkware,stainless steel,personalized,tumbler,$15-$30,High interest in teacher-related products suggests steady demand.,,,,,
2026-07-29,teacher tumbler wrap,,,,40,25,20,15,30,back-to-school,medium,accessories,vinyl,custom,tumbler wrap,$5-$15,Niche product with potential for personalization appeals.,,,,,
2026-07-29,teacher tumbler designs,,,,45,30,25,20,40,back-to-school,medium,drinkware,glass,creative,tumbler,$15-$35,Growing interest in unique designs for teachers indicates demand.,,,,,
2026-07-29,teacher tumbler gift ideas,,,,50,35,30,25,45,holiday,high,gifts,ceramic,personalized,gift tumbler,$10-$25,High search volume for gifts indicates strong buyer intent.,,,,,
2026-07-29,teacher tumbler nearby,,,,20,15,5,10,15,none,low,drinkware,plastic,basic,tumbler,$10-$20,Limited search interest suggests low demand.,,,,,
2026-07-29,teacher tumbler hobby lobby,,,,25,20,10,15,20,none,low,drinkware,ceramic,craft,tumbler,$10-$25,Specific store reference limits broader appeal.,,,,,
2026-07-29,teacher tumbler michaels,,,,25,20,10,15,20,none,low,drinkware,plastic,craft,tumbler,$10-$25,Specific store reference limits broader appeal.,,,,,
2026-07-29,teacher tumbler near me,,,,20,10,15,10,25,low,low,teacher gifts,stainless steel,modern,tumbler,$15-$30,Limited to Google search with low platform presence.,,,,,
2026-07-29,teacher tumbler svg,,,,20,10,15,10,25,low,low,teacher designs,digital,graphic,digital file,$5-$15,Limited to Google search with low platform presence.,,,,,
2026-07-29,teacher tumblers for women,,,,30,40,35,30,20,medium,medium,teacher gifts,plastic,casual,tumbler,$10-$25,Appears on Amazon indicating moderate demand and competition.,,,,,
2026-07-29,teacher tumbler with straw,,,,30,40,35,30,20,medium,medium,teacher gifts,plastic,functional,tumbler,$10-$25,Appears on Amazon indicating moderate demand and competition.,,,,,
2026-07-29,teacher tumbler bulk,,,,30,40,35,30,20,medium,medium,teacher gifts,stainless steel,modern,tumbler,$10-$20 per unit,Appears on Amazon indicating moderate demand and competition.,,,,,
2026-07-29,teacher tumbler with handle,,,,30,40,35,30,20,medium,medium,teacher gifts,plastic,functional,tumbler,$10-$25,Appears on Amazon indicating moderate demand and competition.,,,,,
2026-07-29,teacher tumbler 40 oz,,,,30,40,35,30,20,medium,medium,teacher gifts,stainless steel,modern,tumbler,$15-$30,Appears on Amazon indicating moderate demand and competition.,,,,,
2026-07-29,teacher tumbler gift set,,,,30,40,35,30,20,medium,medium,teacher gifts,various,gift,gift set,$25-$50,Appears on Amazon indicating moderate demand and competition.,,,,,
2026-07-29,teacher tumbler accessories,,,,30,20,25,20,40,low,medium,,,,tumbler accessories,$10-$30,Limited cross-platform presence indicates niche demand.,,,,,
2026-07-29,teacher tumbler plastic,,,,30,20,25,20,40,low,medium,,,,plastic tumblers,$10-$25,Limited cross-platform presence indicates niche demand.,,,,,
2026-07-29,christmas gifts for women,,,,90,80,75,70,85,high,purchase,,,,gift sets,$20-$100,High demand across multiple platforms indicates strong buyer interest.,,,,,
2026-07-29,christmas gifts for men,,,,90,80,75,70,85,high,purchase,,,,gift sets,$20-$100,High demand across multiple platforms indicates strong buyer interest.,,,,,
2026-07-29,christmas in july,,,,70,60,65,60,70,medium,purchase,,,,decorations,$10-$50,Moderate interest for mid-year holiday celebrations.,,,,,
2026-07-29,christmas tree,,,,80,75,70,65,80,high,purchase,,,,artificial trees,$50-$300,"Essential item for Christmas, indicating consistent demand.",,,,,
2026-07-29,christmas story,,,,60,50,55,50,60,medium,engagement,,,,books and merchandise,$10-$40,Cultural significance leads to niche interest.,,,,,
2026-07-29,christmas ornaments,,,,80,70,75,70,80,high,purchase,,,,decorative ornaments,$5-$30,Popular decoration item with consistent demand during the holiday season.,,,,,
2026-07-29,christmas ornament storage,,,,65,55,60,55,65,medium,purchase,,,,storage boxes,$10-$50,"Practical item for post-holiday organization, indicating steady interest.",,,,,
